States,Participation,ERW,Math,Total
Alabama,6.00 ,595.00 ,571.00 ,1166.00 
Alaska,43.00 ,562.00 ,544.00 ,1106.00 
Arizona,29.00 ,577.00 ,572.00 ,1149.00 
Arkansas,5.00 ,592.00 ,576.00 ,1169.00 
California,60.00 ,540.00 ,536.00 ,1076.00 
Colorado,100.00 ,519.00 ,506.00 ,1025.00 
Connecticut,100.00 ,535.00 ,519.00 ,1053.00 
Delaware,100.00 ,505.00 ,492.00 ,998.00 
District of Columbia,92.00 ,497.00 ,480.00 ,977.00 
Florida,56.00 ,550.00 ,549.00 ,1099.00 
Georgia,70.00 ,542.00 ,522.00 ,1064.00 
Hawaii,56.00 ,480.00 ,530.00 ,1010.00 
Idaho,100.00 ,508.00 ,493.00 ,1001.00 
Illinois,99.00 ,513.00 ,506.00 ,1019.00 
Indiana,63.00 ,542.00 ,532.00 ,1074.00 
Iowa,3.00 ,634.00 ,631.00 ,1265.00 
Kansas,4.00 ,633.00 ,631.00 ,1265.00 
Kentucky,4.00 ,630.00 ,618.00 ,1248.00 
Louisiana,4.00 ,615.00 ,595.00 ,1210.00 
Maine,99.00 ,512.00 ,501.00 ,1013.00 
Maryland,76.00 ,545.00 ,535.00 ,1080.00 
Massachusetts,80.00 ,562.00 ,563.00 ,1125.00 
Michigan,100.00 ,511.00 ,499.00 ,1011.00 
Minnesota,4.00 ,643.00 ,655.00 ,1298.00 
Mississippi,3.00 ,630.00 ,606.00 ,1236.00 
Missouri,4.00 ,633.00 ,629.00 ,1262.00 
Montana,10.00 ,606.00 ,592.00 ,1198.00 
Nebraska,3.00 ,629.00 ,623.00 ,1252.00 
Nevada,23.00 ,574.00 ,566.00 ,1140.00 
New Hampshire,96.00 ,535.00 ,528.00 ,1063.00 
New Jersey,82.00 ,547.00 ,547.00 ,1094.00 
New Mexico,16.00 ,552.00 ,540.00 ,1093.00 
New York,79.00 ,534.00 ,534.00 ,1068.00 
North Carolina,52.00 ,554.00 ,543.00 ,1098.00 
North Dakota,2.00 ,640.00 ,643.00 ,1283.00 
Ohio,18.00 ,552.00 ,547.00 ,1099.00 
Oklahoma,8.00 ,541.00 ,521.00 ,1062.00 
Oregon,48.00 ,564.00 ,553.00 ,1117.00 
Pennsylvania,70.00 ,547.00 ,539.00 ,1086.00 
Puerto Rico,0.00 ,512.00 ,481.00 ,993.00 
Rhode Island,97.00 ,513.00 ,505.00 ,1018.00 
South Carolina,55.00 ,547.00 ,523.00 ,1070.00 
South Dakota,3.00 ,622.00 ,618.00 ,1240.00 
Tennessee,6.00 ,624.00 ,607.00 ,1231.00 
Texas,66.00 ,520.00 ,512.00 ,1032.00 
Utah,4.00 ,480.00 ,530.00 ,1010.00 
Vermont,64.00 ,565.00 ,554.00 ,1120.00 
Virgin Islands,0.00 ,490.00 ,445.00 ,935.00 
Virginia,68.00 ,567.00 ,550.00 ,1117.00 
Washington,69.00 ,543.00 ,538.00 ,1081.00 
West Virginia,28.00 ,513.00 ,486.00 ,999.00 
Wisconsin,3.00 ,641.00 ,653.00 ,1294.00 
Wyoming,3.00 ,633.00 ,625.00 ,1257.00 
